 Flow Duration, Total Fwd Packets, Total Backward Packets,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, ACK Flag Count,Init_Win_bytes_forward, Init_Win_bytes_backward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
2933781,2,0,0,0.681714143,2933781,0,2933781,2933781,0,0,0,0,0,0,0,0,1,1369,-1,0,0,0,0,0,0,0,0,Android_Adware
110093268,2,0,0,0.018166415,110093268,0,110093268,110093268,0,0,0,0,0,0,0,0,1,3787,-1,0,0,0,0,0,0,0,0,Android_Adware
1949066,2,0,0,1.026132517,1949066,0,1949066,1949066,0,0,0,0,0,0,0,0,1,1369,-1,0,0,0,0,0,0,0,0,Android_Adware
7927527,3,0,0,0.378428229,3963763.5,5476597.882,7836303,91224,0,0,0,0,0,0,0,0,1,302,-1,0,0,0,0,0,0,0,0,Android_Adware
31632,1,1,6069.802731,63.22711179,31632,0,31632,31632,36,156,76,69.2820323,4800,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
167679,1,1,936.3128358,11.92755205,167679,0,167679,167679,30,127,62.33333333,56.00297611,3136.333333,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
283,2,0,0,7067.137809,283,0,283,283,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,Android_Adware
61806,1,1,1666.50487,32.35931787,61806,0,61806,61806,32,71,45,22.5166605,507,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
53778590,3,0,0,0.055784281,26889295,37979888.91,53745132,33458,0,0,0,0,0,0,0,0,1,2081,-1,0,0,0,0,0,0,0,0,Android_Adware
6229232,2,0,0,0.321066867,6229232,0,6229232,6229232,0,0,0,0,0,0,0,0,1,1369,-1,0,0,0,0,0,0,0,0,Android_Adware
1986,2,0,0,1007.049345,1986,0,1986,1986,0,0,0,0,0,0,0,0,1,1399,-1,0,0,0,0,0,0,0,0,Android_Adware
29627428,2,0,0,0.067505016,29627428,0,29627428,29627428,0,0,0,0,0,0,0,0,1,1613,-1,0,0,0,0,0,0,0,0,Android_Adware
257689,1,1,0,7.761293652,257689,0,257689,257689,0,0,0,0,0,0,0,0,1,1386,125,0,0,0,0,0,0,0,0,Android_Adware
293765,3,1,0,13.61632597,97921.66667,163513.5308,286693,263,0,0,0,0,0,0,0,0,0,65535,8192,0,0,0,0,0,0,0,0,Android_Adware
247712,1,2,125.1453301,12.11083839,123856,125265.3805,212432,35280,0,31,7.75,15.5,240.25,0,0,0,1,1597,64,0,0,0,0,0,0,0,0,Android_Adware
140237,7,5,14988.91163,85.5694289,12748.81818,13833.51431,36958,54,0,694,161.6923077,273.4923474,74798.0641,0,0,0,0,65535,351,0,0,0,0,0,0,0,0,Android_Adware
1444,1,1,51246.5374,1385.041551,1444,0,1444,1444,37,37,37,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
10241272,3,1,0,0.390576483,3413757.333,5705510.482,10000532,3539,0,0,0,0,0,0,0,0,0,65535,8190,0,0,0,0,0,0,0,0,Android_Adware
232,2,0,0,8620.689655,232,0,232,232,0,0,0,0,0,0,0,0,1,1386,-1,0,0,0,0,0,0,0,0,Android_Adware
738418,3,3,1469.357464,8.125479065,147683.6,192698.6207,359177,2324,0,768,155,294.9966102,87023,0,0,0,0,65535,127,0,0,0,0,0,0,0,0,Android_Adware
691495,3,4,976.1458868,10.12299438,115249.1667,125314.4608,237348,56,0,479,84.375,173.5774323,30129.125,0,0,0,0,65535,31,0,0,0,0,0,0,0,0,Android_Adware
61314316,9,0,3.376046795,0.146784643,7664289.5,10639033.31,30757606,310108,23,23,23,0,0,0,1,0,1,1419,-1,7454146,0,7454146,7454146,17953390,11738532.98,30757606,7700023,Android_Adware
1407,1,1,52594.172,1421.464108,1407,0,1407,1407,37,37,37,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
512983,3,4,2376.29707,13.64567637,85497.16667,131095.486,254827,31,0,843,152.375,308.5171621,95182.83929,0,0,0,0,65535,235,0,0,0,0,0,0,0,0,Android_Adware
4907,1,1,0,407.5810067,4907,0,4907,4907,0,0,0,0,0,0,0,0,1,5592,1369,0,0,0,0,0,0,0,0,Android_Adware
2388,1,1,0,837.520938,2388,0,2388,2388,0,0,0,0,0,0,0,0,1,115,1369,0,0,0,0,0,0,0,0,Android_Adware
573839,9,8,12409.40403,29.6250342,35864.9375,50183.87055,157772,31,0,1418,395.6111111,582.7523073,339600.2516,0,0,0,0,65535,362,0,0,0,0,0,0,0,0,Android_Adware
24085217,2,0,0,0.083038488,24085217,0,24085217,24085217,0,0,0,0,0,0,0,0,1,1369,-1,0,0,0,0,0,0,0,0,Android_Adware
7006099,4,0,0,0.570931127,2335366.333,1534405.067,4006653,990312,0,0,0,0,0,0,0,0,0,65535,-1,0,0,0,0,0,0,0,0,Android_Adware
50276607,63,125,3082.06956,3.739313594,268858.861,3203826.5,43729713,6,0,1460,819.8730159,693.5406803,480998.6753,0,0,0,0,65535,77,5832501,0,5832501,5832501,43729713,0,43729713,43729713,Android_Adware
136,2,0,0,14705.88235,136,0,136,136,0,0,0,0,0,0,0,0,1,1386,-1,0,0,0,0,0,0,0,0,Android_Adware
177598,3,4,4876.181038,39.41485828,29599.66667,40298.63738,81412,51,0,657,108.25,233.4785093,54512.21429,0,0,0,0,65535,124,0,0,0,0,0,0,0,0,Android_Adware
47482,1,1,3580.304115,42.12122489,47482,0,47482,47482,30,140,66.66666667,63.50852961,4033.333333,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
6132,1,1,0,326.1578604,6132,0,6132,6132,0,0,0,0,0,0,0,0,1,31,1734,0,0,0,0,0,0,0,0,Android_Adware
32554,1,1,7372.365915,61.43638263,32554,0,32554,32554,36,204,92,96.99484522,9408,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
9226383,2,0,6.719859776,0.21676967,9226383,0,9226383,9226383,31,31,31,0,0,0,1,0,1,1548,-1,0,0,0,0,0,0,0,0,Android_Adware
1041,1,1,69164.26513,1921.229587,1041,0,1041,1041,36,36,36,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
254130,1,1,0,7.869987802,254130,0,254130,254130,0,0,0,0,0,0,0,0,1,1386,124,0,0,0,0,0,0,0,0,Android_Adware
94079,1,1,1647.551526,21.25872937,94079,0,94079,94079,28,127,61,57.15767665,3267,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
788,1,1,83756.34518,2538.071066,788,0,788,788,33,33,33,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
323044,4,3,2207.129679,21.66887483,53840.66667,63238.37085,134016,1354,0,361,89.125,165.0449614,27239.83929,0,0,0,0,65535,110,0,0,0,0,0,0,0,0,Android_Adware
1589,1,1,81183.13405,1258.653241,1589,0,1589,1589,36,93,55,32.90896534,1083,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
77,2,0,8181818.182,25974.02597,77,0,77,77,315,315,315,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
6200890,2,0,0,0.322534346,6200890,0,6200890,6200890,0,0,0,0,0,0,0,0,1,4927,-1,0,0,0,0,0,0,0,0,Android_Adware
2874766,9,12,4702.643624,7.304942385,143738.3,563541.8764,2533386,5,0,1448,614.5,677.4667625,458961.2143,0,0,0,0,65535,972,0,0,0,0,0,0,0,0,Android_Adware
1497266,3,0,0,2.00365199,748633,911015.1637,1392818,104448,0,0,0,0,0,0,0,0,1,939,-1,0,0,0,0,0,0,0,0,Android_Adware
2602693,1,1,86.06470298,0.768434848,2602693,0,2602693,2602693,39,185,87.66666667,84.2931393,7105.333333,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
10166,2,0,0,196.7342121,10166,0,10166,10166,0,0,0,0,0,0,0,0,1,1390,-1,0,0,0,0,0,0,0,0,Android_Adware
5339473,9,9,819.5565368,3.37111921,314086.6471,1206110.41,4993090,15,0,1452,230.3157895,450.981775,203384.5614,0,0,0,0,65535,16616,0,0,0,0,0,0,0,0,Android_Adware
29691849,11,11,347.4017398,0.740944089,1413897.571,6357721.474,29159821,2,0,1448,448.4782609,635.0921815,403342.0791,0,0,0,0,65535,122,0,0,0,0,0,0,0,0,Android_Adware
63028,1,1,2141.905185,31.73192867,63028,0,63028,63028,42,93,59,29.44486373,867,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
38,3,0,0,78947.36842,19,16.97056275,31,7,0,0,0,0,0,0,0,0,1,1503,-1,0,0,0,0,0,0,0,0,Android_Adware
1411172,17,15,11243.13691,22.67618689,45521.67742,208626.2846,1167600,4,0,1418,480.7878788,625.1622668,390827.8598,0,0,0,0,65535,365,0,0,0,0,0,0,0,0,Android_Adware
94049,1,1,0,21.26551053,94049,0,94049,94049,0,0,0,0,0,0,0,0,1,29,1369,0,0,0,0,0,0,0,0,Android_Adware
21580818,7,6,207.96246,0.602386805,1798401.5,4527681.588,14991338,7,0,1448,320.5714286,518.9757241,269335.8022,0,0,0,0,65535,33,197767,0,197767,197767,6288294,0,6288294,6288294,Android_Adware
123249,1,1,1071.002604,16.22731219,123249,0,123249,123249,30,102,54,41.56921938,1728,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,Android_Adware
46870888,2,0,0,0.04267041,46870888,0,46870888,46870888,0,0,0,0,0,0,0,0,1,1369,-1,0,0,0,0,0,0,0,0,Android_Adware
5351089,2,0,0,0.373755697,5351089,0,5351089,5351089,0,0,0,0,0,0,0,0,1,1743,-1,0,0,0,0,0,0,0,0,Android_Adware
13540557,33,36,1634.64472,5.095802189,199125.8382,1094041.361,9049059,4,0,1448,316.2,491.8340889,241900.771,0,0,0,0,65535,2798,290733,0,290733,290733,9049059,0,9049059,9049059,Android_Adware
